SNR,F1 score y_hat,F1 score y
10,0.08,0.135507246
15,0.016666667,0.085454545
20,0.135294118,0.103703704
25,0.304509804,0.085454545
30,0.173333333,0.143238095
35,0.525062657,0.085454545
40,0.085454545,0.085454545
45,0.085454545,0.085454545
50,0.308981938,0.085454545
-10,0,0
-5,0.12,0.0775
0,0.03,0.035294118
5,0.08,0.065
10,0,0.14047619
15,0.156666667,0.168253968
20,0.25,0.161904762
25,0.091666667,0.165
30,0.23510101,0.135714286
35,0.186904762,0.183585859
40,0.204393939,0.163181818
45,0.156450216,0.163181818
50,0.213268398,0.16540404
-10,0,0
-5,0,0.033333333
0,0.226505162,0.151904762
5,0.018181818,0.148333333
10,0.053571429,0.115
15,0.086363636,0.212143575
20,0,0.151190476
25,0.191363636,0.194976657
30,0.093333333,0.151190476
35,0.303095238,0.15968254
40,0.1,0.155525177
45,0.15968254,0.15968254
50,0.177820513,0.157343358
-10,0,0
-5,0.028571429,0.093333333
0,0.078571429,0.044444444
5,0.028571429,0.166391941
10,0.02,0.207142857
15,0.104444444,0.140793651
20,0.111111111,0.197936508
25,0.058333333,0.142164502
30,0.587121212,0.162222222
35,0.04040404,0.152222222
40,0.178888889,0.178888889
45,0.152222222,0.152222222
50,0.143162393,0.172222222
-10,0.053571429,0
-5,0.144444444,0
0,0.035555556,0.180952381
5,0.078571429,0.226111111
10,0.091071429,0.21996337
15,0.028571429,0.161666667
20,0.054545455,0.182857143
25,0.507662338,0.269032634
30,0.196998557,0.206111111
35,0.100793651,0.216666667
40,0.227777778,0.227777778
45,0.216106443,0.225959596
50,0.044444444,0.225959596
-10,0,0
-5,0.201515152,0.047222222
0,0.02,0.113015873
5,0.199531025,0.13
10,0.181601732,0.17995338
15,0.228693659,0.228058608
20,0.115,0.204960317
25,0.168030303,0.272222222
30,0.70995671,0.297130647
35,0.16047619,0.304273504
40,0.284749695,0.284749695
45,0.294273504,0.294273504
50,0.04,0.294273504
-10,0,0
-5,0,0.066666667
0,0.141666667,0.128888889
5,0.044015152,0.145238095
10,0.025,0.259047619
15,0.097142857,0.148571429
20,0.287142857,0.160238095
25,0.091764706,0.171839827
30,0.283354978,0.177222222
35,0.475732601,0.186601732
40,0.05,0.187554113
45,0.193615992,0.182792208
50,0.033333333,0.182792208
-10,0,0
-5,0,0
0,0.19047619,0.068571429
5,0.265887446,0.25047619
10,0.04040404,0.267510594
15,0.028571429,0.168487395
20,0.135238095,0.142820513
25,0.028571429,0.151391941
30,0.165238095,0.168571429
35,0.054545455,0.174725275
40,0.321784098,0.174725275
45,0.174725275,0.174725275
50,0.203296703,0.174725275
-10,0,0
-5,0.066666667,0
0,0.205555556,0.250909091
5,0.0325,0.143030303
10,0.51047619,0.235238095
15,0.463378288,0.234047619
20,0.078571429,0.168571429
25,0.204285714,0.178571429
30,0.091666667,0.166666667
35,0.073333333,0.118571429
40,0.442380952,0.217460317
45,0.163015873,0.185714286
50,0.168571429,0.168571429
-10,0.025,0
-5,0,0.033333333
0,0.033333333,0.131666667
5,0.05,0.223809524
10,0.02,0.172372598
15,0.015384615,0.145714286
20,0.040384615,0.208809524
25,0.145238095,0.228571429
30,0.175714286,0.219365079
35,0.126666667,0.195411255
40,0.298333333,0.206839827
45,0,0.19047619
50,0.216507937,0.174126984
-10,0,0.033333333
-5,0.018181818,0.072222222
0,0.24969697,0.200793651
5,0.336469963,0.158571429
10,0.167777778,0.146031746
15,0.038888889,0.118627451
20,0.05,0.153228716
25,0.186616162,0.134848485
30,0.048571429,0.132047364
35,0.525677656,0.135618793
40,0.091666667,0.118767507
45,0.128333333,0.128333333
50,0.061904762,0.128333333
-10,0.041666667,0
-5,0.046753247,0.033333333
0,0,0.118181818
5,0.06,0.116753247
10,0.230850816,0.186666667
15,0.093506494,0.12969697
20,0.022222222,0.204393939
25,0.203333333,0.149494949
30,0.094949495,0.153131313
35,0.442894491,0.146464646
40,0.146464646,0.149494949
45,0.025,0.154949495
50,0.146464646,0.154949495
-10,0.04,0
-5,0.022222222,0
0,0.189355089,0.165
5,0.091919192,0.082606838
10,0.307063492,0.14
15,0.275,0.158910534
20,0.783412698,0.168333333
25,0.112878788,0.182142857
30,0.145238095,0.122435897
35,0.148268398,0.148268398
40,0.291212121,0.193333333
45,0.188951049,0.188951049
50,0.170769231,0.188951049
-10,0,0
-5,0.125,0.128571429
0,0.033333333,0.188333333
5,0.09047619,0.174444444
10,0.105555556,0.116666667
15,0.128888889,0.166666667
20,0.236363636,0.121904762
25,0.182356532,0.121904762
30,0.106753247,0.121904762
35,0.050793651,0.121904762
40,0.121904762,0.121904762
45,0.155555556,0.121904762
50,0.201363636,0.134725275
-10,0.022222222,0
-5,0.018181818,0.05
0,0.128181818,0.146666667
5,0.162222222,0.068717949
10,0.098333333,0.126363636
15,0.352777778,0.15969697
20,0.098181818,0.1
25,0.211363636,0.158333333
30,0.155238095,0.120555556
35,0.159379509,0.163181818
40,0.163181818,0.163181818
45,0.163181818,0.163181818
50,0.158737374,0.158737374
-10,0,0
-5,0,0
0,0.286904762,0.09
5,0.09,0.123333333
10,0.344725275,0.257142857
15,0.478809524,0.159235209
20,0.364062049,0.231666667
25,0.208975469,0.253571429
30,0.172308802,0.231919192
35,0.117460317,0.215555556
40,0.213333333,0.213333333
45,0.710714286,0.215555556
50,0.44,0.213333333
-10,0.015384615,0
-5,0.118571429,0.15
0,0.018181818,0.246428571
5,0.16,0.211587302
10,0.22968254,0.191197691
15,0.066666667,0.197435897
20,0.833809524,0.242474747
25,0.33995671,0.218268398
30,0.14982906,0.197474747
35,0.130555556,0.225642136
40,0.190396825,0.220252525
45,0.266197691,0.222474747
50,0.075555556,0.222474747
-10,0,0.066666667
-5,0,0.061904762
0,0.113888889,0.177222222
5,0.136835664,0.166753247
10,0.779426407,0.213181818
15,0.19,0.115
20,0.06,0.156363636
25,0.055555556,0.14
30,0.015384615,0.125
35,0.354920635,0.108585859
40,0.175252525,0.162222222
45,0.34,0.118268398
50,0.955799756,0.172222222
-10,0,0
-5,0,0.05
0,0.09047619,0.122222222
5,0.208547009,0.145
10,0.042222222,0.146904762
15,0.092857143,0.183169935
20,0.187777778,0.123254686
25,0.128333333,0.125
30,0.889004329,0.132857143
35,0.111484594,0.12452381
40,0.12452381,0.12452381
45,0.09047619,0.128095238
50,0.15719888,0.128095238
-10,0,0
-5,0,0.173571429
0,0.106926407,0.196031746
5,0.045,0.121601732
10,0.176363636,0.136111111
15,0.22996337,0.25968254
20,0.109444444,0.225238095
25,0.235238095,0.185238095
30,0.126904762,0.265238095
35,0.197979798,0.198571429
40,0.198571429,0.198571429
45,0.198571429,0.198571429
50,0.188286713,0.198571429
-10,0.018181818,0
-5,0.055384615,0
0,0.128888889,0.134444444
5,0.123585859,0.113571429
10,0,0.148333333
15,0.091904762,0.112527473
20,0.193952126,0.117289377
25,0.025,0.166666667
30,0.153571429,0.133566434
35,0.101515152,0.125
40,0.276904762,0.115384615
45,0.06540404,0.115384615
50,0.235238095,0.115384615
-10,0,0
-5,0,0
0,0.265324675,0.111428571
5,0.337835498,0.340622711
10,0.080769231,0.181688312
15,0.151316739,0.202820513
20,0,0.185238095
25,0.387777778,0.217222222
30,0.270555556,0.203015873
35,0.098571429,0.20515873
40,0.21468254,0.21468254
45,0.232460317,0.232460317
50,0.133333333,0.21468254
-10,0.05,0
-5,0.033333333,0.033333333
0,0.113975469,0.176587302
5,0.031515152,0.171904762
10,0.29547619,0.16
15,0.05,0.167070707
20,0.181456044,0.206391941
25,0,0.174126984
