SNR,F1 score y_hat,F1 score y
10,0.37854785,0.48778877
15,0.42904297,0.5290429
20,0.39966998,0.48811883
25,0.46699673,0.5211221
30,0.4369637,0.5009901
35,0.40759072,0.5158416
40,0.48811883,0.5023102
45,0.49108905,0.50264025
50,0.49339932,0.5023102
-10,0.7369637,0.7369637
-5,0.7369637,0.7369637
0,0.51848185,0.59967
5,0.40132013,0.5221122
10,0.4290429,0.5475248
15,0.3891089,0.60330033
20,0.4349835,0.5590759
25,0.4917492,0.57755774
30,0.4712871,0.5818482
35,0.4349835,0.5792079
40,0.56336635,0.5590759
45,0.55016506,0.56633663
50,0.5610561,0.5534653
-10,0.71782184,0.71782184
-5,0.71782184,0.71782184
0,0.580528,0.5930693
5,0.45973596,0.52178216
10,0.4207921,0.5686468
15,0.409571,0.5260726
20,0.43465346,0.57656765
25,0.46534652,0.529373
30,0.46567655,0.589439
35,0.47821784,0.56600654
40,0.50627065,0.56138617
45,0.5046205,0.55610555
50,0.50429046,0.56138617
-10,0.7452145,0.7452145
-5,0.7452145,0.7452145
0,0.56666666,0.6277228
5,0.43036303,0.5531353
10,0.42442244,0.5145214
15,0.44059405,0.5224422
20,0.41749173,0.47788778
25,0.42871284,0.4719472
30,0.40792078,0.5079208
35,0.38646865,0.48052806
40,0.43597358,0.4924093
45,0.44323435,0.4864687
50,0.44356433,0.48613867
-10,0.7052805,0.7052805
-5,0.7052805,0.71023095
0,0.530033,0.59042907
5,0.40726072,0.4541254
10,0.37524754,0.49042907
15,0.42376238,0.56105614
20,0.4009901,0.5481848
25,0.43003297,0.5498349
30,0.45841584,0.5547855
35,0.41650167,0.5544554
40,0.5115512,0.5438944
45,0.51188123,0.53861386
50,0.5016502,0.5438944
-10,0.7178218,0.7178218
-5,0.7178218,0.7108911
0,0.54950494,0.610231
5,0.4128713,0.55775577
10,0.49471945,0.5524752
15,0.44125414,0.54323435
20,0.44719473,0.5557755
25,0.5141914,0.56600654
30,0.5029703,0.56534654
35,0.44422442,0.55445546
40,0.53267324,0.5620462
45,0.519802,0.57029706
50,0.519802,0.56732666
-10,0.72772276,0.72772276
-5,0.72772276,0.72772276
0,0.5372938,0.6201321
5,0.46996704,0.55643564
10,0.46633667,0.5782178
15,0.3940594,0.57458746
20,0.5009901,0.58646864
25,0.5303631,0.6036304
30,0.49240923,0.57821786
35,0.47524747,0.5653466
40,0.5353135,0.59669966
45,0.530363,0.61254126
50,0.530363,0.609571
-10,0.7481848,0.7481848
-5,0.7481848,0.7481848
0,0.6009901,0.66039604
5,0.4290429,0.54950494
10,0.3778878,0.5630363
15,0.40528053,0.60462046
20,0.4171617,0.59669966
25,0.51320136,0.6178218
30,0.52046204,0.639604
35,0.42838287,0.6343234
40,0.54290426,0.63993394
45,0.53300333,0.6343234
50,0.53762376,0.63234323
-10,0.7495049,0.7495049
-5,0.7495049,0.7495049
0,0.5547855,0.6194719
5,0.42937288,0.58910894
10,0.43828383,0.5435644
15,0.44257426,0.6118812
20,0.45115513,0.58448845
25,0.49603957,0.57887787
30,0.50396043,0.58382845
35,0.47458744,0.6009901
40,0.5636964,0.5884489
45,0.5561056,0.59306926
50,0.55082506,0.5963696
-10,0.72772276,0.72772276
-5,0.72772276,0.72772276
0,0.580198,0.63465345
5,0.42541257,0.5669967
10,0.42409238,0.57755774
15,0.3917492,0.57458746
20,0.45082512,0.54818475
25,0.42211223,0.6171617
30,0.41485143,0.6128713
35,0.40693069,0.6039604
40,0.49801978,0.5937294
45,0.4821782,0.6072607
50,0.4927393,0.6019802
-10,0.7178217,0.7178217
-5,0.7178217,0.7178217
0,0.5580858,0.66402644
5,0.3689769,0.48580855
10,0.40231022,0.5056106
15,0.3838284,0.5247525
20,0.43234324,0.53630364
25,0.44554454,0.5112212
30,0.479868,0.5254125
35,0.4306931,0.5171617
40,0.52277225,0.52508247
45,0.52310234,0.530363
50,0.5280528,0.530363
-10,0.74917495,0.74917495
-5,0.74917495,0.74917495
0,0.5729373,0.66105616
5,0.4125413,0.550495
10,0.4834984,0.60066
15,0.48943892,0.6135314
20,0.49834985,0.6132014
25,0.5075908,0.6033004
30,0.52442247,0.61452144
35,0.49603957,0.6132013
40,0.56237626,0.6155116
45,0.57293725,0.60825086
50,0.5673267,0.6158416
-10,0.73333335,0.73333335
-5,0.73333335,0.7214522
0,0.58646864,0.58349836
5,0.46171618,0.58679867
10,0.42970294,0.5524753
15,0.37359735,0.519802
20,0.3871287,0.50957096
25,0.4676568,0.5617162
30,0.44752473,0.5485149
35,0.4151815,0.56963694
40,0.51056105,0.5564357
45,0.510231,0.56699675
50,0.5049505,0.57227725
-10,0.7059406,0.7059406
-5,0.7059406,0.7059406
0,0.53267324,0.54587454
5,0.4,0.5016502
10,0.3953795,0.5851485
15,0.3821782,0.56897694
20,0.42442244,0.5521452
25,0.46006602,0.5580858
30,0.45280528,0.54653466
35,0.40660065,0.5458746
40,0.4927393,0.5567657
45,0.50297034,0.56105614
50,0.5135313,0.5514852
-10,0.7277228,0.7277228
-5,0.7277228,0.73663366
0,0.5920792,0.6419142
5,0.43960395,0.5485149
10,0.41452146,0.59141916
15,0.38151816,0.5541254
20,0.43036303,0.5462047
25,0.5240924,0.5561057
30,0.5356436,0.59537953
35,0.45412546,0.55544555
40,0.6049505,0.5729373
45,0.6046204,0.5762376
50,0.6052805,0.56864685
-10,0.71221125,0.71221125
-5,0.71221125,0.71221125
0,0.5610561,0.6514851
5,0.45742574,0.51848185
10,0.40462047,0.59603965
15,0.3858086,0.56435645
20,0.46072608,0.5930693
25,0.5016502,0.54884493
30,0.44257426,0.54851484
35,0.44422442,0.5828383
40,0.5660066,0.5937294
45,0.5551155,0.5894389
50,0.5574257,0.58382833
-10,0.7372938,0.7372938
-5,0.7372938,0.7191419
0,0.56501645,0.60594064
5,0.42409238,0.49801978
10,0.46336633,0.57029706
15,0.41518155,0.6135314
20,0.4557756,0.58250827
25,0.53729373,0.62937295
30,0.52112216,0.6287129
35,0.46996704,0.6323432
40,0.5841585,0.6363036
45,0.5927393,0.62046206
50,0.5871287,0.6310231
-10,0.7290429,0.7290429
-5,0.7290429,0.7290429
0,0.5574258,0.64719474
5,0.4795379,0.54389435
10,0.4349835,0.57293725
15,0.3970297,0.57227725
20,0.4712871,0.5914191
25,0.5009901,0.6108911
30,0.47920793,0.6085809
35,0.43234318,0.61023104
40,0.53399336,0.61551154
45,0.539604,0.62046206
50,0.55016506,0.6313532
-10,0.74356437,0.74356437
-5,0.74356437,0.74356437
0,0.57623756,0.6465346
5,0.479868,0.4458746
10,0.39306927,0.51650167
15,0.4250825,0.59702975
20,0.43663365,0.5448845
25,0.46831685,0.5330033
30,0.44257426,0.52772284
35,0.42871284,0.52640265
40,0.4541254,0.53531355
45,0.46270627,0.5356436
50,0.4676568,0.5389439
-10,0.7356435,0.7356435
-5,0.7356435,0.7356435
0,0.5861386,0.6125413
5,0.40198022,0.5389439
10,0.45082512,0.58646864
15,0.43630362,0.5462046
20,0.45148516,0.5211221
25,0.48745877,0.56435645
30,0.45280528,0.5277228
35,0.47293735,0.5333333
40,0.5112211,0.5392739
45,0.50825083,0.5336634
50,0.51320136,0.5336634
-10,0.740594,0.740594
-5,0.740594,0.7475248
0,0.5950495,0.64059407
5,0.4458746,0.5603961
10,0.44950494,0.5752476
15,0.42277226,0.5603961
20,0.4607261,0.5983498
25,0.5240924,0.6075908
30,0.5019802,0.61683166
35,0.4640264,0.6122112
40,0.529373,0.6069307
45,0.5455445,0.5930693
50,0.54059404,0.61683166
-10,0.7151815,0.7151815
-5,0.7151815,0.71815175
0,0.5132013,0.5669967
5,0.40594062,0.5174917
10,0.44917488,0.5993399
15,0.4438944,0.54224426
20,0.51551163,0.5986799
25,0.5445544,0.6042904
30,0.509901,0.5858086
35,0.49768978,0.59042907
40,0.58910894,0.579868
45,0.5914192,0.58283824
50,0.5914192,0.579868
-10,0.709241,0.709241
-5,0.709241,0.709241
0,0.55082506,0.68844885
5,0.42640266,0.5141914
10,0.390099,0.5537954
15,0.3788779,0.5184819
20,0.40495047,0.55544555
25,0.39471948,0.49966997
30,0.38052806,0.52574265
35,0.43168315,0.52838284
40,0.4438944,0.5280528
45,0.45973596,0.53333336
50,0.44917488,0.5438944
-10,0.73960394,0.73960394
-5,0.73960394,0.73960394
0,0.55841583,0.6534654
5,0.47425747,0.5633663
10,0.46435642,0.54422444
15,0.41815186,0.55214524
20,0.4808581,0.55742574
25,0.49966997,0.54851484
30,0.5158416,0.5481848
35,0.4547855,0.55379546
40,0.5247525,0.56402636
45,0.52409244,0.55346537
50,0.5135313,0.5508251
-10,0.72409236,0.72409236
-5,0.72409236,0.7211221
0,0.579538,0.620132
5,0.4551155,0.54224426
10,0.44158417,0.55016506
15,0.4369637,0.5356436
20,0.44356433,0.49009904
25,0.4379538,0.5617162
30,0.46204615,0.5280528
35,0.4660066,0.54125416
40,0.48151818,0.5514852
45,0.49240923,0.54422444
50,0.48712873,0.5491749
-10,0.7376238,0.7376238
-5,0.7376238,0.70957094
0,0.5544554,0.5792079
5,0.4039604,0.53762376
10,0.4178218,0.5359736
15,0.38712868,0.5323432
20,0.42640266,0.5861386
25,0.46072608,0.5445544
30,0.44950494,0.58349836
35,0.43663368,0.5676568
40,0.4577558,0.58349836
45,0.4683168,0.5831683
50,0.460066,0.57788783
-10,0.7303631,0.7303631
-5,0.7303631,0.70858085
0,0.58217824,0.6247525
5,0.43993402,0.53630364
10,0.4947195,0.529703
15,0.49867994,0.5910891
20,0.46072608,0.59834975
25,0.55082506,0.6082508
30,0.5224422,0.61452144
35,0.46732673,0.61716175
40,0.5844885,0.60924095
45,0.5848185,0.60693073
50,0.5739274,0.6125413
-10,0.74026406,0.74026406
-5,0.74026406,0.74026406
0,0.52739275,0.5891089
5,0.4541254,0.62244225
10,0.40231028,0.46105608
15,0.46633664,0.5653466
20,0.50528055,0.5683168
25,0.540264,0.5937294
30,0.5013202,0.5382838
35,0.490099,0.5359736
40,0.5488449,0.54323435
45,0.5491749,0.5409241
50,0.5547855,0.54125416
-10,0.71815187,0.71815187
-5,0.71815187,0.7290429
0,0.54554456,0.5963696
5,0.39306933,0.4821782
10,0.4165016,0.5521452
15,0.42739278,0.55742574
20,0.45016503,0.5663366
25,0.4570957,0.5603961
30,0.4792079,0.5950495
35,0.44950494,0.5627063
40,0.48778877,0.5838284
45,0.49075913,0.5765677
50,0.47524753,0.5765677
-10,0.709571,0.709571
-5,0.709571,0.709571
0,0.55544555,0.6343235
5,0.419802,0.53795373
10,0.43993402,0.54950494
15,0.44818482,0.5455445
20,0.5141914,0.5828383
25,0.54059404,0.579538
30,0.550495,0.5848185
35,0.4808581,0.5920792
40,0.5930693,0.59240925
45,0.5851485,0.5867987
50,0.5851486,0.58712876
-10,0.7452146,0.7452146
-5,0.7452146,0.7452146
0,0.5669967,0.6234324
5,0.4953795,0.5458746
